,team,gp,W,L,WIN,LOSS,OT_LOSS,OT_WIN,SO_WIN,SO_LOSS
Anaheim Ducks,Anaheim Ducks,82,35,47,27,37,7,5,3,3
Arizona Coyotes,Arizona Coyotes,82,39,43,30,35,5,5,4,3
Boston Bruins,Boston Bruins,82,49,33,38,24,6,9,2,3
Buffalo Sabres,Buffalo Sabres,82,33,49,21,39,7,7,5,3
Calgary Flames,Calgary Flames,82,50,32,45,25,3,5,0,4
Carolina Hurricanes,Carolina Hurricanes,82,46,36,39,29,5,5,2,2
Chicago Blackhawks,Chicago Blackhawks,82,36,46,24,34,11,9,3,1
Colorado Avalanche,Colorado Avalanche,82,38,44,33,30,12,3,2,2
Columbus Blue Jackets,Columbus Blue Jackets,82,47,35,37,31,3,8,2,1
Dallas Stars,Dallas Stars,82,43,39,36,32,5,6,1,2
Detroit Red Wings,Detroit Red Wings,82,32,50,20,40,5,9,3,5
Edmonton Oilers,Edmonton Oilers,82,35,47,24,38,6,8,3,3
Florida Panthers,Florida Panthers,82,36,46,26,32,7,7,3,7
Los Angeles Kings,Los Angeles Kings,82,31,51,22,42,5,6,3,4
Minnesota Wild,Minnesota Wild,82,37,45,33,36,5,3,1,4
Montreal Canadiens,Montreal Canadiens,82,44,38,37,30,8,4,3,0
Nashville Predators,Nashville Predators,82,47,35,38,29,4,5,4,2
New Jersey Devils,New Jersey Devils,82,31,51,24,41,6,4,3,4
New York Islanders,New York Islanders,82,48,34,37,27,2,6,5,5
New York Rangers,New York Rangers,82,32,50,23,36,9,3,6,5
Ottawa Senators,Ottawa Senators,82,29,53,23,47,5,6,0,1
Philadelphia Flyers,Philadelphia Flyers,82,37,45,28,37,7,6,3,1
Pittsburgh Penguins,Pittsburgh Penguins,82,44,38,37,26,9,5,2,3
San Jose Sharks,San Jose Sharks,82,46,36,38,27,6,8,0,3
St. Louis Blues,St. Louis Blues,82,45,37,36,28,6,6,3,3
Tampa Bay Lightning,Tampa Bay Lightning,82,62,20,49,16,3,7,6,1
Toronto Maple Leafs,Toronto Maple Leafs,82,46,36,40,28,6,6,0,2
Vancouver Canucks,Vancouver Canucks,82,35,47,22,36,5,7,6,6
Vegas Golden Knights,Vegas Golden Knights,82,43,39,36,32,5,4,3,2
Washington Capitals,Washington Capitals,82,48,34,39,26,7,5,4,1
Winnipeg Jets,Winnipeg Jets,82,47,35,38,30,4,7,2,1
